Date,Value
2022-05-23,248560108.0179809
2022-05-22,189527082.3637104
2022-05-21,209722591.14017138
2022-05-20,198848086.4143847
2022-05-19,189527082.3637104
2022-05-18,208169090.46505895
2022-05-17,228364599.24151993
2022-05-16,254774110.71843037
2022-05-15,189527082.3637104
2022-05-14,219043595.19084564
2022-05-13,236132102.61708185
2022-05-12,209722591.14017138
2022-05-11,225257597.8912952
2022-05-10,226823707.2333046
2022-05-09,229568645.3815663
2022-05-08,229568645.3815663
2022-05-07,211795588.96492898
2022-05-06,210314500.93020916
2022-05-05,232530821.4510059
2022-05-04,216238853.06908828
2022-05-03,222163205.20796743
2022-05-02,236974085.55516526
2022-05-01,247341701.7982037
2022-04-30,222163205.20796743
2022-04-29,222163205.20796743
2022-04-28,195503620.58301136
2022-04-27,243130347.43116814
2022-04-26,196436589.85205528
2022-04-25,227305196.82880685
2022-04-24,239933263.31929615
2022-04-23,228708315.3277501
2022-04-22,189420997.35733905
2022-04-21,237127026.3214096
2022-04-20,224498959.83092037
2022-04-19,173986693.86896327
2022-04-18,188017878.85839576
2022-04-17,231514552.3256366
2022-04-16,188017878.85839576
2022-04-15,221692722.83303383
2022-04-14,194492275.55499536
2022-04-13,198950531.06279945
2022-04-12,217424508.94720227
2022-04-11,194687305.39716807
2022-04-10,198950531.06279945
2022-04-09,217424508.94720227
2022-04-08,190424079.73153663
2022-04-07,196108380.6190452
2022-04-06,213161283.28157085
2022-04-05,206055907.17218518
2022-04-04,224529885.05658796
2022-04-03,197529455.84092233
2022-04-02,191845154.95341378
2022-04-01,200371606.28467658
2022-03-31,194247387.85170582
2022-03-30,184232002.723389
2022-03-29,206066906.74986473
2022-03-28,216984358.7631026
2022-03-27,178773276.7167701
2022-03-26,219713721.76641208
2022-03-25,212890314.25813842
2022-03-24,195149454.73662692
2022-03-23,197878817.73993632
2022-03-22,203337543.74655527
2022-03-21,208796269.7531742
2022-03-20,210160951.25482893
2022-03-19,211525632.75648364
2022-03-18,195149454.73662692
2022-03-17,217523034.50856918
2022-03-16,212277837.6262793
2022-03-15,190365286.64550212
2022-03-14,209538768.75368217
2022-03-13,206799699.88108504
2022-03-12,213647372.0625779
2022-03-11,188995752.20920354
2022-03-10,198582493.2632936
2022-03-09,188995752.20920354
2022-03-08,202691096.5721893
2022-03-07,202691096.5721893
2022-03-06,179409011.15511352
2022-03-05,168452735.66472492
2022-03-04,190365286.64550212
2022-03-03,204908164.05639085
2022-03-02,189074638.26979718
2022-03-01,225221260.29196426
2022-02-28,214099222.7466821
2022-02-27,189074638.26979718
2022-02-26,173781836.64503416
2022-02-25,186294128.8834766
2022-02-24,183513619.49715608
2022-02-23,208538203.974041
2022-02-22,211318713.36036152
2022-02-21,171001327.25871363
2022-02-20,200196675.81507933
2022-02-19,207147949.28088072
2022-02-18,186294128.8834766
2022-02-17,213256529.5453799
2022-02-16,206979740.54057044
2022-02-15,232188811.50384504
2022-02-14,202999360.9147902
2022-02-13,209633326.9577572
2022-02-12,248110330.00696588
2022-02-11,188404635.6202628
2022-02-10,195038601.66322982
2022-02-09,185751049.20307598
2022-02-08,204326154.12338364
2022-02-07,180443876.3687024
2022-02-06,206979740.54057044
2022-02-05,157888391.82261464
2022-02-04,172445464.54596007
2022-02-03,194692668.66549554
2022-02-02,202639308.20286274
2022-02-01,203963748.12575728
2022-01-31,189394908.97391748
2022-01-30,193368228.74260104
2022-01-29,197341548.51128462
2022-01-28,203963748.12575728
2022-01-27,173501629.89918315
2022-01-26,172177189.9762886
2022-01-25,201314868.2799682
2022-01-24,198665988.43417916
2022-01-23,186746029.1281284
2022-01-22,177474949.66786668
2022-01-21,175442615.30802113
2022-01-20,204748985.47951442
2022-01-19,209595115.3133491
2022-01-18,164768414.35037845
2022-01-17,195056725.81184512
2022-01-16,212018180.23026645
2022-01-15,201114388.10413846
2022-01-14,192633660.89492777
2022-01-13,216864310.0641011
2022-01-12,168403011.72575447
2022-01-11,191422128.4364691
2022-01-10,172037609.10113046
2022-01-09,170826076.6426718
2022-01-08,174242949.24269608
2022-01-07,168921783.5353667
2022-01-06,176161288.5440253
2022-01-05,180987625.21646434
2022-01-04,177367872.71213505
2022-01-03,168921783.5353667
2022-01-02,190640298.56134245
2022-01-01,207532476.9148791
2021-12-31,179781041.0483546
2021-12-30,143583516.00506175
2021-12-29,174954704.37591556
2021-12-28,161682278.52670813
2021-12-27,178574456.88024485
2021-12-26,161682278.52670813
2021-12-25,177149566.7855162
2021-12-24,181615890.175461
2021-12-23,182818644.41503358
2021-12-22,178007627.4567432
2021-12-21,193643432.5711869
2021-12-20,173196610.49845287
2021-12-19,179210381.69631582
2021-12-18,153952542.66529143
2021-12-17,179210381.69631582
