Date,Value
2022-05-24,191646935.1146
2022-05-23,124032530.2902
2022-05-22,56412343.9488
2022-05-21,224870774.125
2022-05-20,243106193.72129998
2022-05-19,238926820.585
2022-05-18,199056179.81739998
2022-05-17,255625941.6425
2022-05-16,154366315.2477
2022-05-15,202107995.61420003
2022-05-14,387333462.2234
2022-05-13,1105198768.4514
2022-05-12,991604857.165
2022-05-11,702775072.4497
2022-05-10,754487501.7293999
2022-05-09,282204788.6652
2022-05-08,117427071.76739998
2022-05-07,266451045.5822
2022-05-06,425676217.356
2022-05-05,266960829.0919
2022-05-04,172136340.7254
2022-05-03,201444973.9785
2022-05-02,137414022.55560002
2022-05-01,85985016.1128
2022-04-30,194624829.6024
2022-04-29,244512171.426
2022-04-28,241767322.45119998
2022-04-27,341949327.6582
2022-04-26,331208745.177
2022-04-25,92532159.3891
2022-04-24,70432434.8531
2022-04-23,224581597.2795
2022-04-22,275663401.1415
2022-04-21,170464944.73680001
2022-04-20,157094338.602
2022-04-19,287373058.92840004
2022-04-18,73215603.2505
2022-04-17,53175059.972399995
2022-04-16,112772413.352
2022-04-15,168764849.25300002
2022-04-14,225976504.4274
2022-04-13,239384869.614
2022-04-12,309663439.8608
2022-04-11,107486751.4035
2022-04-10,68207000.8752
2022-04-09,210672152.9154
2022-04-08,172917581.4016
2022-04-07,414304824.9626
2022-04-06,183110273.2288
2022-04-05,222101255.5622
2022-04-04,134898633.464
2022-04-03,128666154.54
2022-04-02,343182405.4464
2022-04-01,217720733.859
2022-03-31,198230006.14560002
2022-03-30,222767932.4699
2022-03-29,363200213.7945
2022-03-28,215085807.13829997
2022-03-27,87655860.1288
2022-03-26,294807777.4845
2022-03-25,279553357.1948
2022-03-24,227640947.79139996
2022-03-23,326642014.7693
2022-03-22,188238486.312
2022-03-21,143098716.7617
2022-03-20,117217182.5608
2022-03-19,246251063.8129
2022-03-18,208715564.8872
2022-03-17,652943632.6044
2022-03-16,213584009.7006
2022-03-15,240023981.33999997
2022-03-14,138991446.0656
2022-03-13,116260660.526
2022-03-12,267911337.6576
2022-03-11,360028497.81
2022-03-10,409676985.0096
2022-03-09,279092850.64199996
2022-03-08,296985143.40000004
2022-03-07,175544267.5295
2022-03-06,118294086.9836
2022-03-05,495957604.5125
2022-03-04,346402069.068
2022-03-03,384922007.82
2022-03-02,600026434.7954
2022-03-01,586750288.004
2022-02-28,249386254.8432
2022-02-27,146389006.43690002
2022-02-26,290502971.352
2022-02-25,846061849.3402
2022-02-24,245165376.96400002
2022-02-23,285087602.45299995
2022-02-22,376297985.0144
2022-02-21,190749767.1736
2022-02-20,81527019.56650001
2022-02-19,266751395.53800002
2022-02-18,327153771.0551
2022-02-17,173518252.1539
2022-02-16,235405883.064
2022-02-15,187826655.38700002
2022-02-14,90673301.6639
2022-02-13,140455080.6988
2022-02-12,322559181.27099997
2022-02-11,464258417.52779996
2022-02-10,269200808.685
2022-02-09,366731227.48639995
2022-02-08,403017431.6634
2022-02-07,141085407.5202
2022-02-06,209490904.41120002
2022-02-05,456958267.8625
2022-02-04,163514426.92000002
2022-02-03,211170059.74400002
2022-02-02,271406357.0686
2022-02-01,230446207.79169998
2022-01-31,87415311.4308
2022-01-30,147213501.3288
2022-01-29,252375987.58350003
2022-01-28,343642909.0705
2022-01-27,439495100.73
2022-01-26,288957799.11689997
2022-01-25,737386595.8216001
2022-01-24,257365978.4504
2022-01-23,446318667.4657
2022-01-22,753687064.8299999
2022-01-21,289428557.0358
2022-01-20,219649804.1615
2022-01-19,202865735.0568
2022-01-18,154783167.4775
2022-01-17,107637568.29
2022-01-16,111568728.7393
2022-01-15,217414771.965
2022-01-14,272189573.50680006
2022-01-13,306079003.56
2022-01-12,330038460.48370004
2022-01-11,429424725.21000004
2022-01-10,183137667.3576
2022-01-09,219239676.6817
2022-01-08,488956956.8856
2022-01-07,393637882.3188
2022-01-06,461984932.3115
2022-01-05,246887759.41680002
2022-01-04,200401831.049
2022-01-03,127274108.004
2022-01-02,180494758.2702
2022-01-01,313877726.39159995
2021-12-31,266888972.0112
2021-12-30,265370559.54700002
2021-12-29,358069054.04760003
2021-12-28,193668918.30400002
2021-12-27,141498363.7274
2021-12-26,123194900.1099
2021-12-25,239081657.85399997
2021-12-24,312600141.9432
2021-12-23,211733671.302
2021-12-22,345514275.7818
2021-12-21,276202623.5283
2021-12-20,192533517.7216
2021-12-19,159581106.35739997
2021-12-18,356309895.02760005
2021-12-17,273509536.4848
2021-12-16,432899084.32320005
2021-12-15,345859882.6347
2021-12-14,503961475.5761
2021-12-13,202841550.615
2021-12-12,212503434.6582
2021-12-11,337628656.4944
2021-12-10,355604123.5776
2021-12-09,301494308.8344
2021-12-08,308543486.1643
2021-12-07,595736795.6247
2021-12-06,618347670.1116
2021-12-05,1243669815.772
2021-12-04,505379017.8231999
2021-12-03,431885271.2832
2021-12-02,479668944.2496
2021-12-01,522506214.22769994
2021-11-30,367826530.49249995
2021-11-29,252736299.37800002
2021-11-28,277078998.492
2021-11-27,777492583.0165
2021-11-26,289094884.176
2021-11-25,332409438.7548
2021-11-24,480199475.88900006
2021-11-23,494762556.34959996
2021-11-22,174269411.841
2021-11-21,233278784.7116
2021-11-20,479879941.47720003
2021-11-19,810589480.6968
2021-11-18,549940655.7165
2021-11-17,831553555.683
2021-11-16,348327874.1925
2021-11-15,214318500.0
2021-11-14,168246880.5792
2021-11-13,490505372.2059
2021-11-12,309495740.16110003
2021-11-11,829053692.4852
2021-11-10,466601853.5078
2021-11-09,577118758.6268001
2021-11-08,216409013.16300002
2021-11-07,211867708.1079
2021-11-06,261917194.44480002
2021-11-05,282279127.4775
2021-11-04,424004759.3916
2021-11-03,520838604.09360003
2021-11-02,412970758.83
2021-11-01,267709104.07680002
2021-10-31,226334070.90760002
2021-10-30,563700561.949
2021-10-29,692953330.3278999
2021-10-28,590784490.3176
2021-10-27,379278445.2255
2021-10-26,277562724.5482
2021-10-25,228927561.009
2021-10-24,191872031.9088
2021-10-23,529183068.8158
2021-10-22,917892845.9842
2021-10-21,650092516.4596
2021-10-20,594456878.1812
2021-10-19,753842251.6688
2021-10-18,271015042.96239996
2021-10-17,263628462.4998
2021-10-16,825023911.6309999
2021-10-15,339375043.3206
2021-10-14,471270462.4177
2021-10-13,516916488.0932001
2021-10-12,350997309.894
2021-10-11,294613549.79940003
2021-10-10,168430381.1004
2021-10-09,375062388.383
2021-10-08,402001281.18899995
2021-10-07,869275029.8808
2021-10-06,437607953.31240004
2021-10-05,370887916.3315
2021-10-04,183312373.50120002
2021-10-03,184243787.756
2021-10-02,688291406.5437
2021-10-01,360342502.3033
2021-09-30,221224597.0592
2021-09-29,275833680.1512
2021-09-28,249740960.376
2021-09-27,231309916.7265
2021-09-26,132297206.4525
2021-09-25,594658890.506
2021-09-24,369977052.76799995
2021-09-23,355516148.994
2021-09-22,726831468.7551999
2021-09-21,605141090.3304
2021-09-20,135623202.8706
2021-09-19,171820050.213
2021-09-18,233662730.952
2021-09-17,265469578.3722
2021-09-16,241115251.78049996
2021-09-15,260550303.57560003
2021-09-14,398357109.5228
2021-09-13,137153005.1712
2021-09-12,133023638.214
2021-09-11,348659557.6632
2021-09-10,315266287.5528
2021-09-09,440223166.06020004
2021-09-08,984208204.1449
2021-09-07,345881388.722
2021-09-06,205763894.329
2021-09-05,190864422.66779998
2021-09-04,364637470.90800005
2021-09-03,333198224.2361
2021-09-02,295404213.2284
2021-09-01,261861261.69700003
2021-08-31,243698081.57909998
2021-08-30,185179756.2692
2021-08-29,127683988.5625
2021-08-28,314537378.69339997
2021-08-27,350695648.25600004
2021-08-26,308193605.3925
2021-08-25,329218454.3778
2021-08-24,347662893.76
2021-08-23,175696197.0432
2021-08-22,293309782.24459994
2021-08-21,393922039.2275
2021-08-20,334784599.96800005
2021-08-19,318619549.5016
2021-08-18,391450533.16090006
2021-08-17,328414269.4825
2021-08-16,238769871.1092
2021-08-15,289525608.0355
2021-08-14,413817979.39739996
2021-08-13,364203587.11
2021-08-12,357102154.8612
2021-08-11,341739411.6567
2021-08-10,673221003.7886
2021-08-09,424351428.9948
2021-08-08,577948603.0353999
2021-08-07,458571279.1505
2021-08-06,589529886.96
2021-08-05,381430418.398
2021-08-04,357077322.26
2021-08-03,304362108.8276
2021-08-02,273365143.663
2021-08-01,231216114.81199998
2021-07-31,484267642.4135
2021-07-30,291830057.3931
2021-07-29,648707028.1244999
2021-07-28,636929009.4564999
2021-07-27,985237333.6841999
2021-07-26,213671233.62
2021-07-25,149062681.60979998
2021-07-24,190920633.5901
2021-07-23,205069638.9348
2021-07-22,446695087.8546
2021-07-21,334239343.1424
2021-07-20,227653989.38759997
2021-07-19,119375610.091
2021-07-18,153024608.92839998
2021-07-17,223188595.08749998
2021-07-16,242886859.8507
2021-07-15,250745294.95470002
2021-07-14,196978689.6624
2021-07-13,192174937.9425
2021-07-12,135783786.0912
2021-07-11,179503024.96170002
2021-07-10,195359782.66919997
2021-07-09,358897369.3643
2021-07-08,205349507.1168
2021-07-07,258109070.2662
2021-07-06,262649988.6393
2021-07-05,130884160.14700001
2021-07-04,169572916.05240002
2021-07-03,217066486.518
2021-07-02,324116506.02239996
2021-07-01,406967841.47840005
2021-06-30,385135142.10499996
2021-06-29,355900532.4631
2021-06-28,356498319.39
2021-06-27,383763274.666
2021-06-26,487441486.4364
2021-06-25,346763748.57839996
2021-06-24,567894517.4390001
2021-06-23,1181870044.7323
2021-06-22,881732120.885
2021-06-21,467990640.9804999
2021-06-20,344470416.4143
2021-06-19,492347272.54859996
2021-06-18,473543196.0956
2021-06-17,527484731.4937
2021-06-16,563639731.3728
2021-06-15,773480687.154
2021-06-14,496421300.4036
2021-06-13,400987660.045
2021-06-12,418192315.5634
2021-06-11,619830807.6814001
2021-06-10,839878615.0992
2021-06-09,898174396.709
2021-06-08,468061636.29730004
2021-06-07,244244789.69799998
2021-06-06,437701948.95419997
2021-06-05,501492074.2641
2021-06-04,439066611.0446
2021-06-03,472220579.50759995
2021-06-02,465003628.5384
2021-06-01,481997703.41160005
2021-05-31,329083645.82589996
2021-05-30,458364767.20769995
2021-05-29,694420431.1602
2021-05-28,489470054.16400003
2021-05-27,676198904.1984
2021-05-26,719154798.135
2021-05-25,1032788864.5364999
2021-05-24,1106858419.3752
2021-05-23,666031627.835
2021-05-22,1438210289.5839999
2021-05-21,1507671102.5376
2021-05-20,3192479060.6673994
2021-05-19,776420981.7175001
2021-05-18,1365356635.4928
2021-05-17,795540649.036
2021-05-16,536658388.23960006
2021-05-15,573671658.7248
2021-05-14,1528100267.3316
2021-05-13,928999961.1595999
2021-05-12,546570032.5
2021-05-11,903456808.965
2021-05-10,534233808.3888
2021-05-09,523002028.07149994
2021-05-08,622419281.3629
2021-05-07,605987088.7744
2021-05-06,775797222.5643001
2021-05-05,836868262.6416
2021-05-04,571622384.9631
2021-05-03,286521388.9888
2021-05-02,337492054.7
2021-05-01,683907404.46
2021-04-30,579652972.723
2021-04-29,563311741.806
2021-04-28,509014490.488
2021-04-27,848207062.7712
2021-04-26,576635611.2210001
2021-04-25,458274326.69310004
