index,id,Date,ave_block_size,difficulty,hash_rate,market_price,miners_rev,transaction,ex_trage_vol,symbol
1,1,2014/1/1,0.168741781,1180923195,11740.80209,732,2775832.62,48424,5801531.88,1
2,2,2014/1/2,0.189940347,1418481395,11493.6341,806.21,3296592.69,63821,15945573.44,2
3,3,2014/1/3,0.196643043,1418481395,10435.93771,822.38,3468549.239,60980,10067025.95,3
4,4,2014/1/4,0.159482744,1418481395,10435.93771,807.39,4043648,55761,11996329.8,4
5,5,2014/1/5,0.199986549,1418481395,12480.81739,934.21,4160971.34,67597,26853239.57,5
6,6,2014/1/6,0.203092995,1418481395,13185.94832,867.38,4914913.512,67358,19755518.76,6
7,7,2014/1/7,0.152785398,1418481395,13185.94832,915.69,4076107.31,62884,23700401.37,7
8,8,2014/1/8,0.149579333,1418481395,12762.86976,809.17,3671204.29,58365,13678077.9,8
9,9,2014/1/9,0.141840527,1418481395,14243.64471,827.46,4930974.514,59031,15341573.78,9
10,10,2014/1/10,0.135885874,1418481395,14243.64471,826.28,4626025.95,56464,20915435.6,10
11,11,2014/1/11,0.131477617,1418481395,13397.4876,851,4051611,49308,11171979.19,11
12,12,2014/1/12,0.126423488,1789546951,18058.64887,807.83,5090195.225,50537,13419687.13,12
13,13,2014/1/13,0.172734248,1789546951,18058.64887,844.04,3169736.5,55579,10317975.42,13
14,14,2014/1/14,0.170319596,1789546951,15211.96531,847.7,3640023.8,60392,10885454.74,14
15,15,2014/1/15,0.162223957,1789546951,17791.77229,830.9,4217005.955,61612,6073510.138,15
16,16,2014/1/16,0.186780356,1789546951,17791.77229,841.83,3044327,58397,10334044.11,16
17,17,2014/1/17,0.147974096,1789546951,14500.29442,801.53,3275853.11,53290,8248056.825,17
18,18,2014/1/18,0.144555443,1789546951,16368.43051,833,3693311.746,51573,6486746.497,18
19,19,2014/1/19,0.171692421,1789546951,16368.43051,811.2,3815931.36,58819,4483770.096,19
20,20,2014/1/20,0.204550111,1789546951,15300.92417,822.56,3550168.96,71521,6338548.322,20
21,21,2014/1/21,0.219995355,1789546951,16902.18368,813.05,3904490.234,72577,6932278.286,21
